DEPTH,CNL_dec,DENS,SONI,LL9D,LL9S,MSFL,GrC,VCL,SW
10040.5,0.1946,2.51,94.25,2.755,2.849,4.872,131.1,0.4259,1
10041,0.1936,2.484,92.28,2.405,2.402,3.319,133.5,0.4439,1
10041.5,0.2054,2.458,86.5,1.658,1.996,2.855,135.6,0.46,1
10042,0.2314,2.432,82.44,1.72,1.848,2.863,135.6,0.4601,1
10042.5,0.2243,2.436,83.62,1.917,1.979,3.243,129.6,0.4146,1
10043,0.2087,2.455,88.5,2.217,2.96,5.176,125,0.3806,1
10043.5,0.196,2.474,93.27,2.755,3.311,9.733,122,0.3579,1
10044,0.1865,2.493,95.83,2.963,3.229,8.175,127.4,0.3988,1
10044.5,0.1851,2.482,94.25,2.517,2.483,4.827,134.9,0.4545,1
10045,0.2063,2.46,90.45,2.062,2.173,2.854,138.7,0.4829,1
10045.5,0.2326,2.438,87.95,1.805,2.012,2.859,137.2,0.4723,1
10046,0.2394,2.422,86.77,1.72,1.915,3.351,131.1,0.4261,1
10046.5,0.2339,2.431,89.53,1.849,2.399,3.711,131.9,0.4324,1
10047,0.2252,2.441,91.89,2.062,2.716,4.607,134.1,0.4489,1
10047.5,0.2111,2.45,95.28,2.471,2.778,5.95,143.2,0.517,1
10048,0.2063,2.454,96.62,1.917,2.573,4.793,146.1,0.5389,1
10048.5,0.2146,2.448,97.01,1.72,2.252,3.324,150.8,0.5739,1
10049,0.2278,2.438,97.8,1.506,1.948,2.646,149.3,0.5625,1
10049.5,0.2441,2.421,95.44,1.383,1.704,2.378,153.2,0.5921,1
10050,0.2455,2.418,95.44,1.334,1.611,2.503,155.3,0.608,1
10050.5,0.2455,2.417,95.05,1.434,1.708,2.85,155.8,0.6119,1
10051,0.2455,2.428,94.26,1.599,1.884,3.182,156.8,0.6194,1
10051.5,0.2407,2.44,96.62,1.599,1.984,3.721,156.8,0.6194,1
10052,0.2313,2.451,93.28,1.599,1.95,3.091,153.2,0.5922,1
10052.5,0.226,2.462,89.74,1.542,1.917,2.857,148.1,0.5538,1
10053,0.2195,2.458,86.39,1.599,1.917,2.857,139.6,0.49,1
10053.5,0.2086,2.455,75.76,1.658,1.917,2.857,130.9,0.4251,1
10054,0.1836,2.48,76.35,2.062,2.431,3.682,123.6,0.3696,1
10054.5,0.1545,2.506,80.29,2.657,3.046,4.783,118.4,0.331,1
10055,0.1439,2.528,85.21,4.106,3.774,6.75,131.1,0.4264,1
10055.5,0.1594,2.535,91.23,3.819,4.709,8.481,149.3,0.5627,1
10056,0.1817,2.527,95.06,3.447,4.795,8.259,158.4,0.6309,1
10056.5,0.2058,2.515,95.84,3.017,4.375,6.996,164.4,0.6764,1
10057,0.2337,2.502,90.33,2.61,3.844,5.931,159.3,0.6378,1
10057.5,0.2407,2.48,87.58,2.405,3.28,5.783,149.3,0.5628,1
10058,0.2289,2.459,82.72,2.299,2.892,5.533,130.1,0.4186,1
10058.5,0.2124,2.462,73.01,2.471,2.843,4.448,114.5,0.3016,1
10059,0.2022,2.486,72.61,3.552,2.928,4.115,105.4,0.2335,1
10059.5,0.1798,2.51,74.58,4.106,3.507,5.16,105.4,0.2335,1
10060,0.1415,2.542,78.72,5.104,4.536,6.899,112.7,0.288,1
10060.5,0.1297,2.578,86.4,4.389,6.119,14.63,128.6,0.4073,1
10061,0.133,2.603,88.37,3.683,6.119,14.6,146.3,0.5402,1
10061.5,0.1651,2.576,91.12,2.938,6.099,12.15,149,0.5603,1
10062,0.1921,2.549,91.72,2.383,3.927,7.942,150.8,0.5743,1
10062.5,0.2147,2.522,92.7,1.917,3.083,5.708,149.5,0.5645,1
10063,0.2204,2.495,91.91,1.783,2.713,6.625,148.7,0.5585,1
10063.5,0.2242,2.468,89.55,1.72,2.455,3.986,144.2,0.5244,1
10064,0.2274,2.45,87.58,1.658,2.362,3.552,142.2,0.5092,1
10064.5,0.2289,2.456,86.4,1.658,2.308,3.552,138.3,0.4804,1
10065,0.2275,2.461,84.04,1.599,2.264,3.512,135.1,0.4563,1
10065.5,0.2201,2.471,80.5,1.599,2.177,3.06,125.6,0.3848,1
10066,0.2147,2.481,76.43,1.599,2.073,2.906,119.1,0.3359,1
10066.5,0.1944,2.487,69.93,2.188,2.322,3.013,105.5,0.2337,1
10067,0.1849,2.505,62.78,2.755,2.725,3.471,91.23,0.127,1
10067.5,0.1674,2.522,55.69,4.067,2.989,4.323,77.61,0.02478,1
10068,0.1426,2.585,57.27,5.691,4.264,6.349,76.1,0.01344,1
10068.5,0.1155,2.614,62.39,11.17,5.901,21.69,78.22,0.02936,1
10069,0.1037,2.63,71.05,14.09,9.117,72.84,89.73,0.1157,1
10069.5,0.09656,2.646,87.59,4.582,14,114.5,100.3,0.1952,1
10070,0.106,2.594,95.47,2.657,9.041,63.33,119.1,0.3361,1
10070.5,0.12,2.542,97.44,1.679,4.182,11.04,137.3,0.4724,1
10071,0.18,2.49,96.26,1.275,2.689,2.748,140.4,0.4959,1
10071.5,0.21,2.451,94.09,1.154,1.949,2.186,143.3,0.5179,1
10072,0.2406,2.462,88.32,1.241,1.498,2.075,137.3,0.4724,1
10072.5,0.2336,2.473,82.48,1.783,1.332,1.873,126.7,0.393,1
10073,0.2203,2.484,82.08,2.332,1.447,1.821,120,0.343,1
10073.5,0.211,2.492,84.64,2.936,1.791,2.894,116.8,0.3188,1
10074,0.2038,2.493,91.07,3.303,2.135,4.563,114.6,0.3021,1
10074.5,0.1863,2.497,95.87,2.501,3.116,7.98,119.1,0.3362,1
10075,0.1839,2.493,98.23,1.988,3.043,6.947,132.1,0.4339,1
10075.5,0.2079,2.457,97.05,1.496,2.356,4.06,142.7,0.5134,1
10076,0.2264,2.422,97.44,1.197,1.818,2.602,147.9,0.5521,1
10076.5,0.2524,2.398,95.47,1.197,1.613,2.116,147.9,0.5521,1
10077,0.2666,2.395,96.46,1.287,1.531,1.972,147.9,0.5521,1
10077.5,0.2713,2.392,97.44,1.383,1.482,2.127,143.3,0.5181,1
10078,0.2713,2.398,97.64,1.707,1.506,2.439,142,0.5078,1
10078.5,0.2713,2.399,99.81,1.849,1.662,2.597,140.3,0.4954,1
10079,0.2642,2.393,99.02,1.72,1.917,2.821,142.3,0.5102,1
10079.5,0.2548,2.388,98.63,1.599,1.917,3.047,143.4,0.5181,1
10080,0.2557,2.372,98.04,1.383,1.917,3.537,148.8,0.559,1
10080.5,0.2642,2.362,97.45,1.287,1.849,2.517,153.3,0.5931,1
10081,0.2557,2.372,97.06,1.287,1.637,2.305,154.9,0.6045,1
10081.5,0.2545,2.373,94.5,1.287,1.552,2.299,152.4,0.5864,1
10082,0.2524,2.378,91.15,1.434,1.542,2.375,147.3,0.5477,1
10082.5,0.251,2.385,85.25,1.542,1.497,2.388,141.6,0.5047,1
10083,0.2468,2.393,80.92,1.849,1.478,2.312,138.8,0.4842,1
10083.5,0.2411,2.41,82.49,2.326,1.528,2.373,128.2,0.4047,1
10084,0.2382,2.427,87.02,3.303,1.602,2.584,125.2,0.382,1
10084.5,0.2202,2.449,90.76,3.128,1.724,2.847,122.2,0.3593,1
10085,0.195,2.483,94.31,2.563,1.955,3.179,137.3,0.4729,1
10085.5,0.18,2.517,95.88,2.217,2.348,4.798,143.8,0.5214,1
10086,0.2013,2.503,97.16,1.952,2.997,7.613,154,0.5979,1
10086.5,0.224,2.472,98.41,1.849,3.104,5.549,159.4,0.6388,1
10087,0.2429,2.445,98.64,1.783,2.407,3.958,159.2,0.637,1
10087.5,0.2485,2.431,98.64,1.75,2.21,3.385,158.8,0.6341,1
10088,0.2571,2.416,97.46,1.72,2.103,3.228,158.5,0.632,1
10088.5,0.2612,2.401,97.46,1.658,2.02,2.938,160,0.6434,1
10089,0.2665,2.386,96.41,1.658,1.995,2.857,160,0.6434,1
10089.5,0.2722,2.399,95.1,1.658,1.87,2.857,160,0.6434,1
10090,0.2716,2.414,93.92,1.658,1.831,2.775,160,0.6434,1
10090.5,0.2712,2.41,94.71,1.658,1.799,2.57,164.6,0.6775,1
10091,0.2485,2.408,94.31,1.658,1.783,2.563,164.6,0.6775,1
10091.5,0.2367,2.427,95.3,1.542,1.849,2.858,164.6,0.6775,1
10092,0.2373,2.446,95.89,1.487,1.849,2.838,163.1,0.6667,1
10092.5,0.2378,2.464,95.5,1.487,1.849,2.598,161.8,0.6563,1
10093,0.24,2.461,94.51,1.383,1.827,2.864,160.1,0.6435,1
10093.5,0.2551,2.453,93.53,1.334,1.696,2.649,158.3,0.6302,1
10094,0.2688,2.445,92.15,1.434,1.618,2.24,157,0.6208,1
10094.5,0.2688,2.446,86.13,1.599,1.594,2.359,151,0.5754,1
10095,0.2688,2.448,79.95,1.751,1.639,2.663,139.6,0.4903,1
10095.5,0.2601,2.47,76.99,2.037,1.779,3.137,130.6,0.4221,1
10096,0.257,2.474,77.95,3.072,1.996,3.442,123.8,0.371,1
10096.5,0.2405,2.49,80.54,4.106,2.244,4.095,117.7,0.3256,1
10097,0.2348,2.512,86.05,4.258,2.694,5.195,117.7,0.3256,1
10097.5,0.2232,2.533,94.81,3.75,3.575,9.425,128.3,0.4052,1
10098,0.2195,2.545,96.29,3.303,4.257,8.89,134.8,0.4543,1
10098.5,0.2178,2.527,96.29,2.107,3.533,5.741,157.1,0.621,1
10099,0.2128,2.495,95.9,1.866,2.657,3.425,154,0.5983,1
10099.5,0.2012,2.464,95.9,1.72,2.341,3.185,152.1,0.5836,1
10100,0.1932,2.432,91.77,1.509,2.216,2.755,150.4,0.5711,1
10100.5,0.1856,2.43,88.22,1.487,1.849,2.471,150.4,0.5711,1
10101,0.179,2.435,87.24,1.599,1.72,2.472,150.4,0.5711,1
10101.5,0.1719,2.428,88.15,1.849,1.72,3.017,148,0.553,1
10102,0.1761,2.453,90.58,2.062,2.043,3.821,145.6,0.5354,1
10102.5,0.1837,2.476,94.71,1.849,2.217,5.901,145,0.5303,1
10103,0.1941,2.494,94.32,1.58,2.298,5.057,149.5,0.5644,1
10103.5,0.2026,2.485,91.56,1.487,2.177,3.323,152.6,0.5872,1
10104,0.2315,2.458,91.96,1.434,1.849,2.517,155,0.6053,1
10104.5,0.2414,2.43,91.17,1.599,1.599,2.383,155.3,0.6079,1
10105,0.2414,2.411,90.77,1.72,1.659,2.384,155.6,0.6099,1
10105.5,0.2343,2.427,92.74,1.849,1.816,3.225,152.3,0.5853,1
10106,0.233,2.449,93.53,1.849,1.917,3.819,149.5,0.5645,1
10106.5,0.2319,2.464,91.56,1.658,2.062,3.551,151.4,0.5783,1
10107,0.2357,2.448,91.56,1.506,1.988,3.028,152.6,0.5872,1
10107.5,0.2341,2.433,91.95,1.434,1.846,2.562,153.5,0.594,1
10108,0.2309,2.417,92.86,1.434,1.72,2.299,149.5,0.5645,1
10108.5,0.2191,2.412,94.7,1.465,1.599,2.472,148.4,0.5558,1
10109,0.2168,2.412,94.31,1.487,1.599,2.857,146.5,0.5418,1
10109.5,0.2177,2.414,94.31,1.487,1.633,3.072,143.4,0.5185,1
10110,0.2191,2.412,92.86,1.434,1.658,2.472,139.4,0.4885,1
10110.5,0.2195,2.405,89.71,1.383,1.658,2.657,136.7,0.4679,1
10111,0.2201,2.396,87.87,1.383,1.658,2.383,135.3,0.4579,1
10111.5,0.2186,2.391,86.62,1.461,1.571,2.384,135.3,0.4579,1
10112,0.2164,2.388,85.64,1.72,1.542,2.563,135.3,0.4579,1
10112.5,0.2144,2.4,89.58,1.849,1.599,2.756,135.3,0.4579,1
10113,0.2049,2.396,92.53,2.138,1.783,2.964,135.3,0.4579,1
10113.5,0.2023,2.393,93.71,1.679,1.917,4.746,143.5,0.5193,1
10114,0.2002,2.396,95.64,1.542,2.061,2.858,148.7,0.558,1
10114.5,0.2127,2.392,96.66,1.461,1.917,3.185,152.6,0.5875,1
10115,0.2236,2.381,97.45,1.434,1.783,2.91,157.1,0.6216,1
10115.5,0.2338,2.381,97.44,1.383,1.658,2.857,152.6,0.5875,1
10116,0.238,2.393,93.9,1.383,1.599,2.657,152.2,0.5848,1
10116.5,0.2436,2.391,91.93,1.434,1.542,2.657,152,0.583,1
10117,0.2411,2.4,89.37,1.487,1.542,2.563,150.5,0.5718,1
10117.5,0.2342,2.395,87.2,1.487,1.542,2.563,148.8,0.5592,1
10118,0.2288,2.403,89.17,1.599,1.542,2.563,142.9,0.5149,1
10118.5,0.2214,2.412,91.53,1.658,1.599,2.763,141.4,0.5035,1
10119,0.2129,2.426,92.91,1.658,1.69,3.158,145,0.5308,1
10119.5,0.2082,2.446,94.58,1.658,1.849,4.258,146.9,0.545,1
10120,0.2129,2.433,95.47,1.599,1.917,3.584,149.6,0.5649,1
10120.5,0.232,2.404,94.68,1.487,1.849,2.927,149.3,0.5626,1
10121,0.2507,2.394,95.07,1.542,1.783,2.657,149,0.5604,1
10121.5,0.2592,2.387,88.72,1.542,1.72,2.563,146.6,0.5425,1
10122,0.2507,2.386,84.64,1.542,1.72,2.563,144.5,0.5264,1
10122.5,0.2356,2.4,83.85,1.487,1.72,2.563,136,0.4628,1
10123,0.2278,2.414,83.65,1.487,1.692,2.563,131.4,0.4287,1
10123.5,0.2214,2.444,86.56,1.599,1.658,2.563,128.4,0.4061,1
10124,0.219,2.466,91.52,1.917,1.658,2.756,126.9,0.3947,1
10124.5,0.2152,2.477,91.52,1.917,1.783,3.306,131.4,0.4288,1
10125,0.2034,2.474,93.36,2.217,2.062,6.821,140.5,0.497,1
10125.5,0.1859,2.471,95.46,1.883,2.383,4.257,142.5,0.5116,1
10126,0.194,2.447,97.03,1.689,2.383,3.073,146.6,0.5424,1
10126.5,0.2095,2.425,97.42,1.599,2.099,3.55,148.1,0.5541,1
10127,0.22,2.423,97.22,1.487,1.881,3.185,150.5,0.572,1
10127.5,0.2237,2.414,95.65,1.383,1.719,3.189,150,0.5679,1
10128,0.2317,2.403,93.09,1.359,1.657,3.409,149,0.5607,1
10128.5,0.2388,2.385,90.53,1.334,1.597,3.552,146.2,0.5399,1
10129,0.2426,2.389,89.54,1.334,1.542,3.545,143.6,0.5198,1
10129.5,0.2385,2.401,89.15,1.334,1.542,3.428,139,0.4858,1
10130,0.2355,2.42,87.97,1.591,1.545,3.4,135.3,0.4574,1
10130.5,0.2215,2.445,91.9,1.72,1.608,3.21,131.5,0.429,1
10131,0.2142,2.454,90.13,1.658,1.747,3.645,128.5,0.4063,1
10131.5,0.201,2.457,89.93,1.571,1.917,4.093,128.5,0.4063,1
10132,0.2095,2.439,90.32,1.461,1.917,3.091,128.5,0.4063,1
10132.5,0.2166,2.43,85.86,1.383,1.908,2.878,124.8,0.3788,1
10133,0.2128,2.418,83.63,1.434,1.823,2.644,122.4,0.3609,1
10133.5,0.2085,2.405,82.45,1.499,1.698,2.335,120.3,0.345,1
10134,0.2048,2.417,81.66,1.599,1.685,2.474,117.3,0.3224,1
10134.5,0.1998,2.427,85,1.783,1.814,2.702,117.6,0.3252,1
10135,0.1963,2.439,87.43,2.062,1.96,3.903,122.4,0.361,1
10135.5,0.1835,2.468,89.92,2.563,2.213,4.488,131.5,0.4292,1
10136,0.1773,2.497,89.92,2.164,2.58,3.39,132.7,0.4383,1
10136.5,0.1882,2.473,90.32,2.025,2.725,4.518,134.5,0.4519,1
10137,0.192,2.454,88.35,1.988,2.535,4.655,135.4,0.4588,1
10137.5,0.2024,2.445,86.18,1.988,2.339,3.666,135.8,0.4614,1
10138,0.2104,2.426,83.62,1.988,2.299,3.788,136,0.4633,1
10138.5,0.2077,2.434,84.01,2.138,2.299,3.957,134.5,0.452,1
10139,0.2047,2.443,86.18,2.383,2.389,4.163,132.4,0.4358,1
10139.5,0.2007,2.443,91.64,2.755,2.501,4.397,130,0.4179,1
10140,0.1976,2.444,93.46,2.657,3.004,4.945,126.4,0.3907,1
10140.5,0.1976,2.451,92.93,2.341,2.992,6.049,126.4,0.3907,1
10141,0.1976,2.469,90.5,1.988,2.75,4.996,134.5,0.4521,1
10141.5,0.1976,2.465,87.94,1.783,2.418,3.485,138.5,0.4816,1
10142,0.2213,2.451,81.62,1.599,2.131,3.094,136.1,0.4635,1
10142.5,0.2317,2.427,74.16,1.599,2,3.072,132,0.4328,1
10143,0.234,2.423,60.84,1.72,2.03,3.072,129.4,0.4135,1
