DEPTH,CNL_dec,DENS,SONI,LL9D,LL9S,MSFL,GrC,VCL,SW
10403,0.227,2.138,90.39,12.19,4.664,0.945,129.1,0.4569,0.3128
10403.5,0.2222,2.145,90.39,11.75,4.55,0.955,132.8,0.4357,0.3277
10404,0.2159,2.154,90.15,11.75,4.727,1.006,141.9,0.3802,0.3467
10404.5,0.2114,2.166,89.99,13.76,5.189,1.235,157.8,0.3623,0.3462
10405,0.2019,2.177,91.96,15.15,5.542,1.587,174.7,0.2695,0.3376
10405.5,0.1986,2.196,95.31,15.71,6.035,1.586,182.6,0.2972,0.3533
10406,0.1986,2.201,96.69,16.89,6.345,1.324,188.2,0.317,0.3498
10406.5,0.1986,2.202,96.53,16.89,6.345,1.519,190.5,0.321,0.3488
10407,0.196,2.201,95.7,18.16,6.441,1.681,189.4,0.2792,0.3337
10407.5,0.1939,2.193,95,19.53,6.682,1.77,181.3,0.217,0.3138
10408,0.1996,2.191,94.72,21,6.796,1.805,168.7,0.2911,0.3007
10408.5,0.2175,2.186,95.11,22.58,6.991,1.509,162.5,0.5304,0.2887
10409,0.223,2.169,96.29,24.28,6.964,1.359,145,0.542,0.2565
10409.5,0.231,2.152,96.29,22.58,6.73,1.392,132.9,0.493,0.2423
10410,0.2364,2.148,96.29,19.53,6.272,1.34,128.1,0.4496,0.2529
10410.5,0.235,2.146,95.11,15.71,5.612,1.246,127.3,0.442,0.2789
10411,0.232,2.144,94.32,13.59,5.235,1.125,126.6,0.4355,0.2981
10411.5,0.2303,2.14,93.93,12.19,4.897,1.006,123.6,0.4095,0.309
10412,0.2317,2.134,92.75,13.1,4.45,0.955,116.9,0.3494,0.2857
10412.5,0.2397,2.131,92.75,16.89,4.306,1.001,115.5,0.299,0.2472
10413,0.2431,2.131,92.75,18.88,4.641,1.187,113.5,0.2649,0.2314
10413.5,0.2459,2.136,93.06,26.82,5.273,1.428,110.6,0.2184,0.1945
10414,0.2326,2.153,93.54,35.53,6.229,1.56,107.8,0.2866,0.1757
10414.5,0.2264,2.156,93.54,43.63,7.715,1.31,102.2,0.3379,0.1606
10415,0.2175,2.155,93.14,46.63,9.112,1.051,99.93,0.4305,0.1566
10415.5,0.2114,2.146,93.54,50.14,9.456,0.991,101.1,0.471,0.1492
10416,0.2138,2.145,93.38,48.36,9.456,0.974,102.2,0.4814,0.1522
10416.5,0.2246,2.151,93.14,44.97,8.941,0.945,100.6,0.3746,0.1587
10417,0.2252,2.157,92.36,39.61,8.012,0.909,99.47,0.346,0.17
10417.5,0.2256,2.15,91.96,32.45,7.365,0.876,98.8,0.369,0.1836
10418,0.2204,2.15,92.32,29.1,6.495,0.863,99.47,0.421,0.193
10418.5,0.2175,2.155,92.75,24.28,5.567,0.932,103.3,0.4305,0.2136
10419,0.2152,2.151,94.54,21.38,5.189,0.961,103.9,0.4693,0.2246
10419.5,0.2128,2.148,95.51,19.53,4.977,0.975,104.8,0.5044,0.2334
10420,0.2131,2.144,95.9,18.83,4.923,0.985,105.6,0.5125,0.2359
10420.5,0.2135,2.144,96.69,17.52,4.923,1.128,106.8,0.5125,0.2439
10421,0.2138,2.153,96.69,17.52,4.923,1.319,107.8,0.476,0.2477
10421.5,0.219,2.155,96.69,18.16,4.923,1.176,109,0.4156,0.2468
10422,0.2222,2.143,96.69,20.25,4.923,1.194,109,0.4288,0.2271
10422.5,0.2246,2.13,96.69,19.9,4.66,1.275,108.2,0.4546,0.2203
10423,0.227,2.118,96.69,18.16,4.169,1.105,107.5,0.4762,0.2241
10423.5,0.2287,2.114,96.69,14.79,3.602,1.038,106.7,0.4738,0.2439
10424,0.2317,2.11,97.23,12.87,3.112,1.015,106.3,0.4592,0.2561
10424.5,0.2348,2.106,97.47,11.54,2.827,0.938,106.1,0.4431,0.2674
10425,0.2412,2.125,97.87,10.93,2.68,0.899,105.6,0.3076,0.2851
10425.5,0.2412,2.139,98.1,11.75,2.657,0.922,105.8,0.2545,0.2828
10426,0.2412,2.145,98.26,11.75,2.657,0.851,106.3,0.2317,0.2886
10426.5,0.2412,2.134,97.87,12.19,2.657,0.904,105.9,0.2734,0.2751
10427,0.2412,2.12,97.12,12.19,2.79,0.93,105.6,0.3266,0.2673
10427.5,0.2412,2.113,96.29,12.19,2.919,0.902,103.3,0.3531,0.2632
10428,0.2388,2.123,93.54,12.19,3.121,0.922,102.2,0.3389,0.269
10428.5,0.2418,2.134,91.96,12.19,3.268,0.928,101.7,0.267,0.276
10429,0.247,2.143,91.18,12.87,3.347,0.928,98.8,0.1807,0.2718
10429.5,0.249,2.143,90.78,14.21,3.395,0.928,90.67,0.1606,0.2524
10430,0.248,2.147,92.36,15.15,3.598,1.007,85.24,0.1554,0.2424
10430.5,0.24,2.156,92.36,18.83,3.87,1.066,85.24,0.2015,0.2222
10431,0.225,2.161,92.36,23.13,4.208,1.062,85.24,0.326,0.2042
10431.5,0.2191,2.166,92.36,29.1,4.479,1.035,92.02,0.3736,0.1897
10432,0.2152,2.168,91.96,32.45,4.952,0.981,92.38,0.3914,0.1826
10432.5,0.2208,2.16,93.19,34.89,5.389,0.911,93.15,0.3784,0.1751
10433,0.2217,2.16,94.32,38.16,5.957,1.004,94.38,0.3701,0.1684
10433.5,0.2222,2.163,94.32,41.83,6.326,1.063,95.75,0.3529,0.163
10434,0.2228,2.163,94.32,40.34,6.908,1.005,96.28,0.347,0.1673
10434.5,0.2232,2.157,93.54,40.34,7.48,1.023,96.54,0.3661,0.1657
10435,0.2253,2.153,92.55,40.34,7.607,1.094,95.41,0.3604,0.1633
10435.5,0.227,2.156,91.96,44.97,7.852,1.105,95,0.332,0.156
10436,0.224,2.154,92.16,46.63,7.888,1.194,94.57,0.3697,0.1519
10436.5,0.2199,2.153,92.75,51.99,7.888,1.134,94.28,0.4089,0.1439
10437,0.2175,2.148,92.86,55.9,7.721,1.051,93.15,0.3985,0.1372
10437.5,0.219,2.139,93.14,55.9,6.909,1.058,92.02,0.3881,0.1334
10438,0.2199,2.13,93.54,51.06,6.084,1.234,92.84,0.3957,0.1354
10438.5,0.2188,2.128,92.75,44.97,5.372,1.11,94.28,0.4089,0.1438
10439,0.218,2.129,93.14,37.51,4.325,0.953,95.57,0.4207,0.1572
10439.5,0.2175,2.134,93.14,26.87,3.452,0.898,97.67,0.4399,0.1858
10440,0.2208,2.151,92.75,21.77,2.992,0.871,98.12,0.4125,0.2119
10440.5,0.2217,2.154,92.75,20.25,2.786,0.791,98.8,0.3928,0.2217
10441,0.2227,2.162,91.57,19.53,2.665,0.959,97.67,0.3523,0.2252
10441.5,0.2232,2.162,91.39,19.53,2.657,1.163,96.54,0.3471,0.2199
10442,0.2208,2.167,91.18,19.53,2.657,0.994,95.41,0.3518,0.2254
10442.5,0.2219,2.174,91.18,19.53,2.657,0.903,93.15,0.3143,0.2289
10443,0.2241,2.175,91.18,19.53,2.657,0.891,93.66,0.2893,0.2301
10443.5,0.2256,2.171,91.96,19.53,2.657,0.944,94.28,0.2893,0.2275
10444,0.2317,2.174,91.96,19.53,2.629,1.032,94.96,0.2163,0.2275
10444.5,0.2328,2.177,91.96,18.16,2.538,0.929,93.56,0.1944,0.2379
10445,0.2346,2.171,91.96,16.89,2.37,0.755,92.02,0.1991,0.2441
10445.5,0.2364,2.161,91.18,16.29,2.148,0.747,92.7,0.2183,0.2418
10446,0.2303,2.158,89.6,15.71,2.138,0.747,94.43,0.2912,0.2457
10446.5,0.2285,2.176,88.42,15.71,2.138,0.624,95.41,0.2413,0.2601
10447,0.227,2.193,87.24,15.71,2.138,0.756,95.41,0.1914,0.2672
10447.5,0.224,2.204,87.24,16.89,2.349,0.839,95.41,0.1797,0.265
10448,0.221,2.213,87.24,18.83,2.621,1.238,90.89,0.1756,0.246
10448.5,0.215,2.216,88.42,23.7,2.919,1.577,88.25,0.2244,0.2395
10449,0.2,2.217,89.21,30.18,3.368,1.496,86.37,0.3363,0.2182
10449.5,0.1917,2.207,90.78,31.29,3.944,1.495,84.11,0.3156,0.2104
10450,0.1868,2.196,91.96,34.89,3.96,1.133,84.11,0.3156,0.1983
10450.5,0.1845,2.192,92.75,36.18,3.96,1.039,85.92,0.3321,0.1953
10451,0.1886,2.18,93.54,40.34,3.96,1.034,87.5,0.3467,0.181
10451.5,0.1939,2.177,93.54,42.99,4.087,1.069,90.89,0.3778,0.1765
10452,0.1971,2.179,92.75,47.49,4.386,1.151,90.44,0.3736,0.1689
10452.5,0.2057,2.175,92.36,52.77,4.807,1.037,89.32,0.3634,0.1599
10453,0.2088,2.157,92.75,55.9,5.086,1.035,87.6,0.3476,0.1483
10453.5,0.2128,2.143,92.75,62.33,5.29,1.035,86.37,0.3363,0.136
10454,0.2128,2.135,92.75,64.63,5.293,1.085,84.11,0.3156,0.13
10454.5,0.2128,2.141,91.96,64.63,5.293,1.152,83.55,0.3104,0.1311
10455,0.2128,2.149,91.57,56.93,5.115,1.077,82.99,0.3052,0.1417
10455.5,0.2043,2.15,91.4,51.99,4.932,1.037,85.62,0.3294,0.1497
10456,0.2033,2.142,91.18,50.14,4.928,1.035,87.05,0.3425,0.1503
10456.5,0.207,2.138,91.18,51.99,4.774,0.998,88.63,0.3571,0.1472
10457,0.2104,2.138,91.18,48.36,4.583,0.998,87.74,0.3488,0.1516
10457.5,0.2175,2.147,91.96,46.63,4.577,0.998,85.58,0.3291,0.1563
10458,0.2199,2.151,93.14,44.97,4.68,0.96,83.44,0.3094,0.1598
10458.5,0.2153,2.143,93.14,46.63,4.746,1.191,82.99,0.3052,0.1524
10459,0.2104,2.141,92.36,48.36,4.746,1.383,86.37,0.3363,0.1494
10459.5,0.2019,2.145,91.78,50.14,5.196,1.383,87.04,0.3425,0.1494
10460,0.203,2.14,91.18,53.91,5.29,1.383,87.5,0.3467,0.1431
10460.5,0.2057,2.127,91.18,53.91,5.69,1.383,84.68,0.3208,0.1382
10461,0.2051,2.127,91.18,53.91,5.692,1.383,81.86,0.2949,0.1369
10461.5,0.2041,2.132,91.18,46.63,5.293,1.287,82.99,0.3052,0.1489
10462,0.2033,2.141,91.43,40.34,4.747,1.035,86.37,0.3363,0.1658
10462.5,0.2084,2.145,91.57,33.65,4.181,0.955,86.73,0.3396,0.1822
10463,0.2114,2.141,91.57,30.18,3.96,0.928,87.5,0.3467,0.1905
10463.5,0.2169,2.145,91.76,30.18,3.819,0.998,86.38,0.3364,0.1903
10464,0.2199,2.153,91.96,37.51,4.415,1.241,84.11,0.3156,0.1725
10464.5,0.2192,2.152,91.96,39.6,4.748,1.241,82.93,0.3047,0.1678
10465,0.2185,2.15,92.17,43.37,5.296,1.113,81.86,0.2949,0.1612
10465.5,0.2143,2.143,92.36,46.63,6.345,1.196,78.47,0.2638,0.1524
10466,0.209,2.135,92.36,48.36,6.345,1.035,77.34,0.2534,0.1475
10466.5,0.2075,2.146,92.25,44.97,6.118,1.074,77.34,0.2534,0.1561
10467,0.2057,2.151,91.96,44.97,5.901,1.113,78.47,0.2638,0.1579
10467.5,0.205,2.16,91.18,45.75,5.901,1.112,78.47,0.2638,0.1599
10468,0.204,2.165,90.78,48.36,5.901,0.998,77.89,0.2584,0.1578
10468.5,0.2031,2.162,90.39,51.97,5.903,0.962,103.6,0.2948,0.1513
10469,0.2019,2.165,90.39,56.93,6.122,0.928,103.3,0.2919,0.1462
10469.5,0.201,2.162,90.78,67.02,6.468,0.865,103,0.29,0.1348
10470,0.2043,2.166,91.57,74.72,7.079,0.999,99.1,0.2586,0.1276
10470.5,0.2043,2.169,92.75,80.34,7.336,1.035,96.07,0.2345,0.1231
10471,0.2043,2.171,95.11,89.58,7.336,1.034,99.23,0.2597,0.1184
10471.5,0.2066,2.173,95.54,92.89,7.327,0.963,103.3,0.2924,0.118
10472,0.2104,2.163,96.29,79.62,6.743,1.039,105.1,0.3064,0.1245
10472.5,0.2199,2.151,96.11,64.63,6.328,1.196,108.2,0.331,0.1337
10473,0.2276,2.141,95.9,54.9,5.371,1.107,109.7,0.3432,0.1412
10473.5,0.2317,2.123,95.9,44.17,4.487,0.849,112,0.3616,0.152
10474,0.2412,2.11,96.29,35.07,4.099,0.695,114.2,0.3645,0.1668
10474.5,0.2445,2.104,96.09,31.29,3.816,0.751,115.7,0.3541,0.1734
10475,0.2452,2.119,95.9,31.29,3.848,0.86,117.3,0.2896,0.1786
10475.5,0.2459,2.117,94.32,36.18,4.758,0.746,117.3,0.2905,0.1687
10476,0.2506,2.111,92.36,41.83,5.114,0.727,114.6,0.266,0.1549
10476.5,0.25,2.102,91.18,41.83,5.285,0.895,112.7,0.3062,0.1503
10477,0.249,2.108,90.39,43.37,5.005,0.895,109.1,0.2934,0.1479
10477.5,0.24,2.115,90.39,44.97,4.742,0.893,108.3,0.3321,0.1469
10478,0.227,2.124,90.78,48.36,4.577,0.833,106.1,0.3141,0.1441
10478.5,0.2216,2.137,91.18,60.84,4.583,0.833,105.7,0.3108,0.1327
10479,0.2128,2.146,92.36,77.48,4.752,0.837,104.5,0.302,0.1202
10479.5,0.2144,2.145,93.54,83.31,4.926,0.964,104.1,0.2985,0.1156
10480,0.2175,2.139,93.93,92.89,5.112,0.998,103,0.29,0.1078
10480.5,0.2199,2.143,93.93,103.6,5.293,0.998,103.5,0.2939,0.1032
10481,0.2232,2.141,93.14,103.6,5.293,0.998,104.3,0.3003,0.1029
10481.5,0.2243,2.134,92.75,103.6,5.293,1.001,105.2,0.3069,0.1016
10482,0.2261,2.132,92.75,96.32,5.303,1.073,105.2,0.3069,0.1049
10482.5,0.2279,2.115,93.14,92.89,5.652,1.072,106.7,0.3194,0.1036
10483,0.2303,2.102,92.75,89.58,5.901,1.035,109.7,0.343,0.1036
10483.5,0.2309,2.099,92.75,89.58,5.901,1.031,107.2,0.3233,0.1024
10484,0.2317,2.105,91.57,89.58,5.911,0.93,105.2,0.3069,0.1031
10484.5,0.2339,2.116,91.18,89.58,6.116,1.001,102.1,0.2828,0.1049
10485,0.2364,2.116,91.96,96.32,6.011,1.115,103.6,0.2946,0.1014
10485.5,0.2292,2.133,91.18,96.32,5.899,1.196,105.2,0.3069,0.1052
10486,0.2175,2.141,91.18,86.39,5.672,1.199,106.1,0.3141,0.1128
10486.5,0.2152,2.141,91.18,80.34,4.996,1.234,106.3,0.3161,0.116
10487,0.2208,2.135,91.18,69.49,4.413,1.032,106.7,0.3189,0.1231
10487.5,0.2265,2.127,91.96,60.11,4.249,0.965,108.1,0.3303,0.1302
10488,0.2317,2.123,92.36,43.77,3.8,1.038,109.8,0.3436,0.149
10488.5,0.2364,2.13,92.75,31.67,3.083,1.103,112.1,0.3359,0.1739
10489,0.235,2.136,92.36,28.07,2.386,0.784,112.8,0.3277,0.1887
10489.5,0.2341,2.14,92.75,26.1,2.474,0.673,113.9,0.3217,0.2004
10490,0.237,2.141,92.75,25.17,2.566,0.776,115.1,0.288,0.2035
10490.5,0.2459,2.136,91.96,23.41,2.657,0.832,116.5,0.2184,0.2084
10491,0.2451,2.13,91.76,22.46,2.657,0.816,117.9,0.2487,0.2107
10491.5,0.2435,2.132,91.57,21.05,2.657,0.773,118.8,0.2573,0.2197
10492,0.2403,2.136,90.39,19.53,2.657,0.724,115.1,0.274,0.2286
10492.5,0.2341,2.142,89.6,17.52,2.653,0.833,113.5,0.3141,0.2411
10493,0.2299,2.152,89.99,15.71,2.462,0.822,112.7,0.318,0.2585
10493.5,0.2222,2.152,90.39,13.59,2.173,0.582,110.8,0.3521,0.2798
10494,0.2208,2.15,90.39,12.28,2.061,0.672,109.7,0.343,0.2881
10494.5,0.2215,2.157,90.39,12.19,2.061,0.718,111.2,0.3551,0.2935
10495,0.2222,2.162,90.39,13.59,2.237,0.669,116.5,0.3567,0.289
10495.5,0.2222,2.158,91.96,16.44,3.021,0.675,120.3,0.3718,0.2685
10496,0.228,2.157,92.75,20.25,3.838,0.87,118.6,0.3175,0.2411
10496.5,0.2317,2.154,93.54,27.56,4.603,1.133,115.7,0.2922,0.2037
10497,0.2256,2.16,93.14,37.51,5.508,1.47,116.1,0.3311,0.1775
10497.5,0.2152,2.16,93.14,57.45,6.392,1.786,116.8,0.3995,0.1447
10498,0.2175,2.144,93.14,83.31,8.088,1.843,117.3,0.4033,0.1183
10498.5,0.2213,2.126,92.75,92.89,9.456,1.657,118.4,0.4125,0.1095
10499,0.2279,2.099,93.54,92.89,9.456,1.6,119.7,0.4226,0.1037
10499.5,0.2348,2.098,93.54,89.58,9.416,1.594,120.9,0.4319,0.1056
10500,0.2397,2.092,93.54,72.06,8.165,1.432,123.3,0.447,0.1162
10500.5,0.2412,2.095,94.13,77.49,7.587,1.333,123.3,0.4215,0.1129
10501,0.2364,2.098,94.33,50.15,6.781,1.261,123.3,0.4515,0.1397
10501.5,0.2348,2.099,94.33,40.34,5.467,1.143,123.3,0.4515,0.1543
10502,0.2326,2.098,93.54,36.19,4.736,0.865,123.8,0.4554,0.1635
10502.5,0.2374,2.094,93.54,36.19,4.418,0.953,124.2,0.4587,0.1609
10503,0.2386,2.096,93.15,38.45,4.506,1.156,124.8,0.4428,0.1557
10503.5,0.2397,2.105,91.97,38.92,4.751,1.151,123.6,0.3976,0.1579
10504,0.2397,2.1,91.68,35.54,4.743,1.013,121.8,0.4166,0.1635
10504.5,0.2362,2.111,91.58,29.12,4.375,0.893,121.8,0.4102,0.1847
10505,0.2326,2.128,90.79,23.85,3.183,0.805,121.9,0.3814,0.2086
10505.5,0.2295,2.135,89.38,20.26,3.077,0.83,122.2,0.3868,0.2284
10506,0.227,2.142,87.64,20.27,3.196,0.746,122.5,0.3851,0.2344
10506.5,0.2326,2.145,84.1,21.4,3.431,0.73,122.7,0.3169,0.2314
10507,0.2326,2.144,79.77,22.6,3.558,1,122.7,0.3207,0.2211
10507.5,0.2326,2.146,76.23,24.3,3.693,1.08,118.8,0.3131,0.2117
10508,0.2253,2.154,72.68,26.13,3.979,1.22,117.2,0.3562,0.2069
10508.5,0.2161,2.196,70.32,28.1,4.408,0.786,113.6,0.2892,0.2265
10509,0.2085,2.205,68.75,28.1,4.11,1.211,111.4,0.3317,0.2238
10509.5,0.2043,2.235,68.75,30.21,4.197,1.633,109.1,0.2596,0.2279
10510,0.1949,2.265,69.93,33.08,4.593,1.126,105.2,0.2403,0.2435
10510.5,0.1901,2.287,71.11,34.94,4.94,1.931,103,0.2044,0.2439
10511,0.1798,2.309,72.3,37.56,5.304,2.309,100.6,0.2245,0.2489
10511.5,0.17,2.331,73.08,38.95,5.432,2.47,105.2,0.2391,0.2689
10512,0.1679,2.337,72.3,38.96,5.475,2.198,106.9,0.2372,0.2809
10512.5,0.1703,2.331,73.09,37.57,4.929,1.619,108.2,0.2363,0.2856
10513,0.1703,2.324,76.63,37.57,4.934,2.055,107,0.2628,0.2707
10513.5,0.1703,2.315,77.03,35.59,5.128,1.858,107.6,0.297,0.2732
10514,0.1703,2.311,77.82,28.8,5.488,2.072,109.7,0.3122,0.3006
10514.5,0.1744,2.31,76.24,22.21,5.098,2.202,109.7,0.2744,0.336
10515,0.1783,2.309,73.49,18.64,4.546,1.59,109.7,0.2393,0.3716
10515.5,0.1821,2.286,73.09,14.64,4.096,1.253,106.9,0.2887,0.3862
10516,0.1783,2.275,72.7,13.61,3.554,1.488,105.2,0.3069,0.3742
10516.5,0.1787,2.294,73.49,14.12,3.592,1.414,105.2,0.2921,0.3926
10517,0.1797,2.302,74.25,15.74,4.645,1.428,105.2,0.2516,0.3915
10517.5,0.1783,2.337,75.46,16.93,5.118,2.789,105.2,0.1327,0.4127
10518,0.176,2.361,77.04,18.88,5.106,3.401,105.2,0.06519,0.4075
10518.5,0.1736,2.373,77.82,15.75,4.748,2.372,108.2,0.04371,0.5104
10519,0.1736,2.38,78.31,15.75,4.419,1.848,108.2,0.01714,0.5341
10519.5,0.1736,2.359,79.79,15.75,4.277,1.74,109.3,0.09684,0.4875
10520,0.1736,2.337,83.47,15.75,4.536,2.13,111.2,0.1803,0.4441
10520.5,0.175,2.319,85.7,16.93,4.584,1.799,113.5,0.2344,0.4083
10521,0.182,2.313,86.49,18.21,4.425,1.979,117.3,0.187,0.3858
10521.5,0.1925,2.298,86.49,20.3,4.437,1.541,119.5,0.1389,0.3561
10522,0.1978,2.28,81.77,22.91,4.762,1.385,121.8,0.1544,0.3218
10522.5,0.2033,2.254,80.42,27.14,4.887,1.343,122.2,0.197,0.2734
10523,0.2033,2.236,78.62,31.38,5.124,1.493,122.5,0.2653,0.2404
10523.5,0.2004,2.221,77.44,32.54,5.302,1.546,123.3,0.352,0.2267
10524,0.195,2.225,77.83,31.38,5.326,1.55,120.8,0.391,0.2315
10524.5,0.1892,2.242,82.56,33.14,6.049,1.733,118.8,0.3846,0.2359
10525,0.1868,2.259,86.5,36.29,6.865,2.082,122.7,0.3443,0.2407
10525.5,0.183,2.265,87.68,41.2,7.646,2.528,124.2,0.3588,0.2309
10526,0.1834,2.265,89.26,43.51,8.219,2.54,124.4,0.3552,0.2262
10526.5,0.184,2.255,89.26,45.12,8.483,1.688,124.8,0.3868,0.2211
10527,0.1845,2.231,88.47,52.17,7.613,1.489,124.8,0.4636,0.1914
10527.5,0.1939,2.204,88.27,58.16,6.964,1.365,124.8,0.4636,0.1682
10528,0.1974,2.177,88.08,66.04,6.584,1.202,124.8,0.4636,0.1477
10528.5,0.201,2.177,86.11,69.73,5.9,1.252,121.8,0.4394,0.1417
10529,0.2128,2.183,82.57,54.1,5.098,1.316,119,0.3716,0.1595
10529.5,0.2139,2.186,80.62,46.8,4.253,1.326,117,0.3493,0.169
10530,0.2152,2.18,77.85,41.98,3.698,0.963,115.1,0.3593,0.1766
10530.5,0.2063,2.209,72.47,48.53,4.007,0.903,112.7,0.3384,0.1778
10531,0.1963,2.244,69.19,52.19,5.148,1.173,106.7,0.3059,0.1856
10531.5,0.1857,2.279,69.19,59.26,5.993,2.068,104.3,0.2791,0.1872
10532,0.1774,2.314,71.75,64.88,6.497,1.989,102.1,0.2297,0.2025
10532.5,0.1641,2.345,74.7,54.13,6.567,1.869,100.3,0.2447,0.2473
10533,0.1594,2.356,75.88,46.82,5.288,2.317,99.1,0.2504,0.2652
10533.5,0.1592,2.366,74.31,42,4.438,2.676,100.6,0.2146,0.2767
10534,0.1588,2.368,71.16,39.06,4.404,2.906,100.6,0.2112,0.2854
10534.5,0.1585,2.357,68.01,42.77,3.699,1.294,100.6,0.256,0.287
10535,0.1594,2.351,67.62,55.47,4.006,1.632,100,0.2659,0.2426
10535.5,0.1542,2.357,68.01,69.79,5.093,2.653,96.98,0.2418,0.2095
10536,0.149,2.371,70.18,86.76,6.049,3.8,97.62,0.2468,0.195
10536.5,0.1382,2.398,72.35,89.97,6.366,4.509,98.52,0.254,0.2186
10537,0.1325,2.422,73.53,69.81,6.02,2.31,101.5,0.2699,0.3107
10537.5,0.1413,2.403,73.06,57.53,5.386,2.38,100.6,0.2539,0.3
10538,0.1467,2.399,72.74,54.16,4.502,2.464,100,0.215,0.2909
10538.5,0.15,2.375,71.96,55.16,4.13,1.842,100.6,0.2706,0.2666
10539,0.1505,2.356,70.38,56.17,4.366,1.511,101.4,0.2771,0.2519
10539.5,0.1511,2.363,70.78,57.2,4.786,2.205,102.1,0.2828,0.2486
10540,0.1514,2.38,69.99,60.4,5.322,3.166,103,0.2398,0.2489
10540.5,0.1508,2.399,69.6,60.4,5.53,2.215,103.6,0.1739,0.2955
10541,0.1503,2.417,69.99,46.87,5.908,3.536,103.6,0.1099,0.346
10541.5,0.15,2.402,70.39,42.04,5.32,2.467,103.6,0.1705,0.3522
10542,0.15,2.387,71.18,40.54,5.317,1.998,103.6,0.2275,0.3402
10542.5,0.15,2.386,71.18,42.04,5.224,1.998,103.4,0.2312,0.3319
10543,0.1506,2.388,70.79,45.21,5.145,2.087,103,0.2172,0.3209
10543.5,0.1514,2.388,69.61,46.88,5.627,2.748,103.5,0.2094,0.3084
10544,0.1493,2.392,69.8,51.33,5.938,3.767,104.1,0.2148,0.2858
10544.5,0.1457,2.402,70,56.21,6.162,4.731,104.5,0.213,0.289
10545,0.1419,2.416,71.58,57.34,6.498,5.849,100.6,0.1979,0.3015
10545.5,0.1419,2.433,72.59,58.29,6.624,3.421,100.6,0.1334,0.346
10546,0.1476,2.42,73.94,56.22,6.841,2.876,100.3,0.1259,0.3351
10546.5,0.1519,2.397,73.71,51.35,6.381,2.982,100,0.1705,0.305
10547,0.1561,2.375,73.55,48.63,6.381,3.085,101.1,0.2113,0.2825
10547.5,0.1578,2.363,72.37,48.63,6.388,2.992,102.1,0.2401,0.2705
10548,0.1594,2.351,73.61,50.43,6.758,3.324,102.6,0.2692,0.2512
10548.5,0.1608,2.35,74.34,50.44,7.493,3.316,103,0.2589,0.2547
10549,0.1614,2.35,75.92,38.43,8.201,2.999,104.5,0.2534,0.2995
10549.5,0.1618,2.339,75.13,33.24,7.365,2.505,103.6,0.2911,0.3075
10550,0.1634,2.323,72.37,29.28,6.848,2.837,103.6,0.2948,0.3025
10550.5,0.1641,2.324,70.8,29.28,6.389,1.858,103.9,0.2967,0.3119
10551,0.1736,2.321,69.62,35.53,6.705,1.867,104.5,0.241,0.2821
10551.5,0.174,2.311,71.98,43.64,7.406,2.326,103.5,0.2753,0.2432
10552,0.175,2.332,72.91,53.28,8.649,4.102,100.6,0.1851,0.2274
10552.5,0.1709,2.353,74.54,67.45,11.37,3.457,99.27,0.1462,0.2283
10553,0.1635,2.374,75.92,60.5,9.992,3.858,96.98,0.1409,0.2553
10553.5,0.1585,2.368,75.53,46.09,8.205,4.218,97.57,0.2142,0.2732
10554,0.1523,2.357,75.53,37.76,7.227,2.256,98.14,0.251,0.3045
10554.5,0.1561,2.329,76.1,33.26,6.378,1.82,98.49,0.2538,0.292
10555,0.1604,2.312,76.71,25.65,5.914,2.292,98.85,0.2567,0.3054
10555.5,0.1632,2.31,75.14,20.89,5.141,1.642,99.1,0.2586,0.3407
10556,0.1679,2.318,73.96,18.96,5.122,1.446,100.7,0.2713,0.3732
10556.5,0.1674,2.311,73.55,18.29,4.79,1.561,102.1,0.2828,0.3689
10557,0.1667,2.304,73.17,21.4,5.148,1.789,104.6,0.3024,0.3348
10557.5,0.166,2.315,74.36,25.05,5.429,1.705,106.7,0.3189,0.3273
10558,0.1655,2.327,75.54,28.26,5.535,2.482,106.7,0.2989,0.3122
10558.5,0.1673,2.344,75.93,26.29,5.726,2.227,105.7,0.2164,0.3504
10559,0.1689,2.365,75.93,24.9,5.52,1.987,104.6,0.1215,0.3939
10559.5,0.1714,2.37,75.58,23.58,5.217,1.625,103.6,0.07745,0.4156
10560,0.175,2.362,74.76,23.58,4.782,2.085,103.6,0.07122,0.389
10560.5,0.1745,2.354,74.15,24.46,4.782,2.306,105.2,0.1062,0.3668
10561,0.174,2.355,73.58,24.84,4.786,2.077,107.1,0.1078,0.3748
10561.5,0.1736,2.361,73.18,25.36,4.966,2.077,109.7,0.08924,0.3877
10562,0.1677,2.364,73.39,27.27,5.248,2.118,111.2,0.1372,0.3837
10562.5,0.1608,2.361,73.97,28.28,5.53,2.237,111.2,0.2172,0.372
10563,0.1587,2.367,73.97,29.86,5.53,2.386,111.2,0.216,0.37
10563.5,0.1537,2.375,73.58,32.7,5.53,2.028,108.2,0.2351,0.3664
10564,0.1537,2.364,73.47,32.7,5.531,2.65,106.8,0.2768,0.3366
10564.5,0.1561,2.352,73.19,33.91,5.539,1.91,105.2,0.2986,0.3214
10565,0.1703,2.341,75.55,33.91,5.736,2.148,105.2,0.1983,0.3055
10565.5,0.1774,2.34,77.92,32.71,5.736,2.006,105.2,0.131,0.3114
10566,0.1784,2.339,79.49,33.36,5.736,2.08,106.8,0.1242,0.3085
10566.5,0.1797,2.334,79.69,33.92,5.745,2.16,108.2,0.1302,0.3011
