DEPTH,ANN,SVR,ACTUAL
10000.0,1.0000498,0.9004715725832453,1.0
10000.5,0.99996895,0.9169847988244316,1.0
10001.0,0.999959,0.9103075702057937,1.0
10001.5,0.99998814,0.9178509313295954,1.0
10002.0,1.000188,0.9223238176547575,1.0
10002.5,1.000322,0.9138914010341979,1.0
10003.0,1.0001698,0.9010910625926429,1.0
10003.5,1.000057,0.9042656813465799,1.0
10004.0,0.99998254,0.9019521486845781,1.0
10004.5,0.99980915,0.9101471984757474,1.0
10005.0,0.99963105,0.899637424404911,1.0
10005.5,0.9994926,0.8997491006249416,1.0
10006.0,0.99990976,0.9041674555133197,1.0
10006.5,1.00036,0.8997884114059826,1.0
10007.0,1.0004476,0.9001113357563193,1.0
10007.5,1.0003939,0.9392522121129616,1.0
10008.0,1.0000597,0.911306595622217,1.0
10008.5,0.99995154,0.8998267440926435,1.0
10009.0,0.9999112,0.9001679751440093,1.0
10009.5,0.9999469,0.9101612566260369,1.0
10010.0,0.99993634,0.900232475482901,1.0
10010.5,0.99985915,0.9055341389202742,1.0
10011.0,0.99978423,0.9011469918087918,1.0
10011.5,1.0000379,0.924754304650807,1.0
10012.0,1.000481,0.8997886763621146,1.0
10012.5,1.0005105,0.6661005901410609,1.0
10013.0,1.0004308,0.8995773577108661,1.0
10013.5,1.0002698,0.9004162831153162,1.0
10014.0,1.000248,0.8995358658328154,1.0
10014.5,1.0002546,0.89998748614159,1.0
10015.0,1.0002486,0.88705826002266,1.0
10015.5,1.0002629,0.9000778478237641,1.0
10016.0,1.0000356,0.9050358509198908,1.0
10016.5,1.0000485,0.8998294040529964,1.0
10017.0,0.99989456,0.907487270679705,1.0
10017.5,0.9997723,0.9122646223641842,1.0
10018.0,1.0000743,0.8997538131677694,1.0
10018.5,1.0004297,0.900155953239449,1.0
10019.0,0.9997615,0.8997637255037365,1.0
10019.5,1.00038,0.8998967805858775,1.0
10020.0,1.000005,0.9017960619658048,1.0
10020.5,0.99991876,0.8999311064435,1.0
10021.0,1.0001303,0.9020382982673807,1.0
10021.5,0.99994546,0.8993473325449515,1.0
10022.0,1.0000134,0.930831867176849,1.0
10022.5,1.0004038,0.9000961027123231,1.0
10023.0,1.0000658,0.899985063013603,1.0
10023.5,1.0000122,0.8999434512711348,1.0
10024.0,0.9998439,0.9003842160985904,1.0
10024.5,1.0004303,0.9001183326091752,1.0
10025.0,1.0004752,0.8998632940556932,1.0
10025.5,0.8514405,0.9003722354142434,1.0
